equipo_local,equipo_visitante,fecha,fase,2
Atalanta,Club Brugge,2025-09-30,Liga,2
Kairat Almaty,Real Madrid,2025-09-30,Liga,2
Atlético de Madrid,Frankfurt,2025-09-30,Liga,2
Chelsea,Benfica,2025-09-30,Liga,2
Inter,Slavia Praha,2025-09-30,Liga,2
Bodø_Glimt,Tottenham,2025-09-30,Liga,2
Galatasaray,Liverpool,2025-09-30,Liga,2
Marseille,Ajax,2025-09-30,Liga,2
Pafos,Bayern München,2025-09-30,Liga,2
Qarabağ,Copenhagen,2025-10-01,Liga,2
Union Saint Gilloise,Newcastle United,2025-10-01,Liga,2
Arsenal,Olympiacos,2025-10-01,Liga,2
Monaco,Manchester City,2025-10-01,Liga,2
Leverkusen,PSV Eindhoven,2025-10-01,Liga,2
B.Dortmund,Athletic Club,2025-10-01,Liga,2
Barcelona,Paris Saint-Germain,2025-10-01,Liga,2
Napoli,Sporting CP,2025-10-01,Liga,2
Villarreal,Juventus,2025-10-01,Liga,2